,ID,Year_Birth,Education,Marital_Status,Income,Income_category,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,median_income,Age,Join_year,Childhome,Total_Mnt,Total_num_purchase,Total_accept,Order_value
10,1994,1983-01-01,Graduate,Married,37292.0,2. Lower-Middle,1,0,2013-11-15,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,0,37292.0,32,2013,1,19,11,0,1.7272727272727273
11,387,1976-01-01,Undergraduate,Married,7500.0,1. Lower,0,0,2012-11-13,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,8524.0,39,2012,0,61,14,0,4.357142857142857
12,2125,1959-01-01,Graduate,Single,63033.0,3. Upper-Middle,0,0,2013-11-15,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,59646.5,56,2013,0,1102,18,0,61.22222222222222
13,8180,1952-01-01,Postgraduate,Single,59354.0,3. Upper-Middle,1,1,2013-11-15,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,49863.5,63,2013,2,310,21,0,14.761904761904763
14,2569,1987-01-01,Graduate,Married,17323.0,1. Lower,0,0,2012-10-10,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,38079.5,28,2012,0,46,13,0,3.5384615384615383
15,2114,1946-01-01,Postgraduate,Single,82800.0,4. Upper,0,0,2012-11-24,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,63086.5,69,2012,0,1315,29,3,45.3448275862069
16,9736,1980-01-01,Graduate,Married,41850.0,2. Lower-Middle,1,1,2012-12-24,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,46407.0,35,2012,2,96,17,0,5.647058823529412
17,4939,1946-01-01,Graduate,Married,37760.0,2. Lower-Middle,0,0,2012-08-31,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,37760.0,69,2012,0,317,20,0,15.85
18,6565,1949-01-01,Postgraduate,Married,76995.0,4. Upper,0,1,2013-03-28,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,49912.0,66,2013,1,1782,31,1,57.483870967741936
19,2278,1985-01-01,Undergraduate,Single,33812.0,1. Lower,1,0,2012-11-03,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,33812.0,30,2012,1,133,14,0,9.5
20,9360,1982-01-01,Graduate,Married,37040.0,2. Lower-Middle,0,0,2012-08-08,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,47737.5,33,2012,0,316,20,0,15.8
21,5376,1979-01-01,Graduate,Married,2447.0,1. Lower,1,0,2013-01-06,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,60313.0,36,2013,1,1730,44,0,39.31818181818182
22,1993,1949-01-01,Postgraduate,Married,58607.0,3. Upper-Middle,0,1,2012-12-23,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,63259.0,66,2012,1,972,25,1,38.88
23,4047,1954-01-01,Postgraduate,Married,65324.0,3. Upper-Middle,0,1,2014-01-11,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,65324.0,61,2014,1,544,24,0,22.666666666666668
24,1409,1951-01-01,Graduate,Married,40689.0,2. Lower-Middle,0,1,2013-03-18,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,55547.0,64,2013,1,444,28,0,15.857142857142858
25,7892,1969-01-01,Graduate,Single,18589.0,1. Lower,0,0,2013-01-02,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,53289.0,46,2013,0,75,15,0,5.0
26,2404,1976-01-01,Graduate,Married,53359.0,3. Upper-Middle,1,1,2013-05-27,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,46179.5,39,2013,2,257,21,0,12.238095238095237
27,5255,1986-01-01,Graduate,Single,38508.0,2. Lower-Middle,1,0,2013-02-20,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,0,38508.0,29,2013,1,637,28,0,22.75
28,9422,1989-01-01,Graduate,Married,38360.0,2. Lower-Middle,1,0,2013-05-31,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,34541.5,26,2013,1,131,12,0,10.916666666666666
29,1966,1965-01-01,Postgraduate,Married,84618.0,4. Upper,0,0,2013-11-22,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,57236.0,50,2013,0,1672,28,1,59.714285714285715
30,6864,1989-01-01,Postgraduate,Single,10979.0,1. Lower,0,0,2014-05-22,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,10979.0,26,2014,0,30,13,0,2.3076923076923075
31,3033,1963-01-01,Postgraduate,Married,38620.0,2. Lower-Middle,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,48721.0,52,2013,0,318,14,0,22.714285714285715
32,5710,1970-01-01,Graduate,Married,40548.0,2. Lower-Middle,0,1,2012-10-10,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,53187.0,45,2012,1,120,14,1,8.571428571428571
33,7373,1952-01-01,Postgraduate,Single,46610.0,2. Lower-Middle,0,2,2012-10-29,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,61505.0,63,2012,2,302,23,1,13.130434782608695
34,8755,1946-01-01,Postgraduate,Married,68657.0,4. Upper,0,0,2013-02-20,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,66835.0,69,2013,0,1196,25,0,47.84
35,10738,1951-01-01,Postgraduate,Single,49389.0,2. Lower-Middle,1,1,2013-08-29,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,53459.5,64,2013,2,65,13,0,5.0
36,4339,1970-01-01,Postgraduate,Married,67353.0,3. Upper-Middle,0,1,2013-12-31,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,64413.0,45,2013,1,913,30,0,30.433333333333334
37,10755,1976-01-01,Undergraduate,Married,23718.0,1. Lower,1,0,2013-09-02,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,26907.0,39,2013,1,81,16,0,5.0625
38,8595,1973-01-01,Graduate,Single,42429.0,2. Lower-Middle,0,1,2014-02-11,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,50121.0,42,2014,1,67,12,0,5.583333333333333
39,2968,1943-01-01,Postgraduate,Single,48948.0,2. Lower-Middle,0,0,2013-02-01,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,53230.5,72,2013,0,902,30,2,30.066666666666666
40,8601,1980-01-01,Graduate,Married,80011.0,4. Upper,0,1,2013-04-29,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,46407.0,35,2013,1,1395,25,0,55.8
41,503,1985-01-01,Postgraduate,Married,20559.0,1. Lower,1,0,2013-03-12,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,20559.0,30,2013,1,53,15,0,3.533333333333333
42,8430,1957-01-01,Graduate,Married,21994.0,1. Lower,0,1,2012-12-24,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,50388.0,58,2012,1,22,9,0,2.4444444444444446
43,7281,1959-01-01,Postgraduate,Single,53195.5,3. Upper-Middle,0,0,2013-11-05,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,0,53195.5,56,2013,0,186,11,0,16.90909090909091
44,2139,1975-01-01,Postgraduate,Married,7500.0,1. Lower,1,0,2013-10-02,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,46098.0,40,2013,1,31,13,0,2.3846153846153846
45,1371,1976-01-01,Graduate,Single,79941.0,4. Upper,0,0,2014-06-28,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,46179.5,39,2014,0,984,17,0,57.88235294117647
46,9909,1996-01-01,Undergraduate,Married,7500.0,1. Lower,0,0,2012-11-09,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,7500.0,19,2012,0,122,19,1,6.421052631578948
47,7286,1968-01-01,Graduate,Married,41728.0,2. Lower-Middle,1,0,2013-05-24,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,53910.5,47,2013,1,55,15,0,3.6666666666666665
48,7244,1951-01-01,Graduate,Single,55547.0,3. Upper-Middle,2,1,2014-01-01,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,0,55547.0,64,2014,3,124,16,0,7.75
49,6566,1954-01-01,Postgraduate,Married,72550.0,4. Upper,1,1,2012-11-08,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,65324.0,61,2012,2,1319,36,0,36.638888888888886
50,8614,1957-01-01,Graduate,Single,65486.0,3. Upper-Middle,0,1,2014-05-12,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,50388.0,58,2014,1,507,19,0,26.68421052631579
51,4114,1964-01-01,Postgraduate,Married,79143.0,4. Upper,0,0,2012-08-11,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,64036.0,51,2012,0,1693,32,0,52.90625
52,1331,1977-01-01,Graduate,Single,35790.0,2. Lower-Middle,1,0,2013-01-02,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,42014.0,38,2013,1,72,14,0,5.142857142857143
53,2225,1977-01-01,Graduate,Single,82582.0,4. Upper,0,0,2014-06-07,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,42014.0,38,2014,0,1617,22,3,73.5
54,9381,1978-01-01,Graduate,Married,66373.0,3. Upper-Middle,1,1,2013-06-12,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,43526.0,37,2013,2,606,26,0,23.307692307692307
55,6260,1955-01-01,Postgraduate,Married,82384.0,4. Upper,0,0,2012-11-19,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,48757.0,60,2012,0,1957,28,2,69.89285714285714
56,10383,1966-01-01,Graduate,Single,70287.0,4. Upper,0,0,2013-04-02,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,54942.0,49,2013,0,1093,24,1,45.541666666666664
57,7437,1988-01-01,Graduate,Single,27938.0,1. Lower,1,0,2014-04-28,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,40815.0,27,2014,1,29,9,0,3.2222222222222223
58,8557,1982-01-01,Graduate,Single,47737.5,2. Lower-Middle,1,0,2013-06-17,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,0,47737.5,33,2013,1,46,13,0,3.5384615384615383
59,8375,1968-01-01,Postgraduate,Married,55954.0,3. Upper-Middle,0,1,2014-03-03,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,42564.0,47,2014,1,518,26,0,19.923076923076923
60,6853,1982-01-01,Postgraduate,Single,75777.0,4. Upper,0,0,2013-07-04,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,27590.0,33,2013,0,1438,22,3,65.36363636363636
61,3076,1975-01-01,Graduate,Married,66653.0,3. Upper-Middle,1,1,2012-09-07,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,56243.0,40,2012,2,612,25,0,24.48
62,1012,1952-01-01,Graduate,Single,61823.0,3. Upper-Middle,0,1,2013-02-18,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,61823.0,63,2013,1,884,31,0,28.516129032258064
63,6518,1951-01-01,Postgraduate,Single,67680.0,3. Upper-Middle,0,1,2013-06-11,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,67680.0,64,2013,1,606,24,0,25.25
64,4137,1948-01-01,Graduate,Married,70666.0,4. Upper,0,0,2013-12-06,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,73904.0,67,2013,0,1076,20,0,53.8
65,8082,1971-01-01,Graduate,Married,25721.0,1. Lower,1,0,2013-05-21,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,42075.5,44,2013,1,34,12,1,2.8333333333333335
66,1386,1967-01-01,Graduate,Married,32474.0,1. Lower,1,1,2014-05-11,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,55657.0,48,2014,2,11,11,0,1.0
67,9369,1979-01-01,Undergraduate,Single,88194.0,4. Upper,0,1,2014-03-19,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,42648.0,36,2014,1,1274,37,3,34.432432432432435
68,4477,1958-01-01,Graduate,Married,69096.0,4. Upper,0,1,2013-09-27,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,65148.0,57,2013,1,653,22,0,29.681818181818183
69,1357,1970-01-01,Graduate,Married,74854.0,4. Upper,1,2,2013-04-08,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,53187.0,45,2013,3,1562,24,0,65.08333333333333
70,1402,1954-01-01,Postgraduate,Married,66991.0,3. Upper-Middle,0,0,2012-09-11,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,52884.5,61,2012,0,1253,24,0,52.208333333333336
71,10629,1973-01-01,Undergraduate,Married,35688.0,2. Lower-Middle,1,0,2012-09-14,25,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,0,35688.0,42,2012,1,109,17,0,6.411764705882353
72,6312,1959-01-01,Graduate,Married,65031.0,3. Upper-Middle,0,1,2013-03-17,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,59646.5,56,2013,1,863,37,0,23.324324324324323
73,8132,1975-01-01,Postgraduate,Married,60631.0,3. Upper-Middle,1,1,2013-04-05,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,60631.0,40,2013,2,661,31,1,21.322580645161292
74,1050,1952-01-01,Graduate,Married,28332.0,1. Lower,0,0,2014-04-30,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,61823.0,63,2014,0,65,10,0,6.5
75,5846,1977-01-01,Graduate,Single,40246.0,2. Lower-Middle,1,0,2012-12-19,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,42014.0,38,2012,1,13,10,0,1.3
76,1859,1972-01-01,Postgraduate,Married,75251.0,4. Upper,0,0,2012-08-27,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,47958.5,43,2012,0,1890,24,1,78.75
77,7503,1976-01-01,Graduate,Single,75825.0,4. Upper,0,0,2012-10-12,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,46179.5,39,2012,0,2209,26,2,84.96153846153847
78,10401,1976-01-01,Undergraduate,Married,26326.0,1. Lower,0,0,2013-09-04,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,26907.0,39,2013,0,18,7,0,2.5714285714285716
79,1618,1965-01-01,Graduate,Married,56046.0,3. Upper-Middle,0,0,2013-01-02,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,59594.0,50,2013,0,692,29,2,23.862068965517242
80,3332,1985-01-01,Graduate,Single,29760.0,1. Lower,1,0,2012-08-29,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,37740.0,30,2012,1,165,20,0,8.25
81,2261,1969-01-01,Graduate,Married,26304.0,1. Lower,1,0,2013-06-23,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,53289.0,46,2013,1,16,11,0,1.4545454545454546
82,5346,1973-01-01,Undergraduate,Married,23559.0,1. Lower,1,0,2013-07-03,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,35688.0,42,2013,1,79,16,0,4.9375
83,4119,1963-01-01,Postgraduate,Married,38620.0,2. Lower-Middle,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,48721.0,52,2013,0,318,14,0,22.714285714285715
84,535,1987-01-01,Graduate,Single,81361.0,4. Upper,0,0,2014-02-25,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,38079.5,28,2014,0,778,28,0,27.785714285714285
85,5268,1960-01-01,Graduate,Married,29440.0,1. Lower,1,1,2013-08-11,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,55026.0,55,2013,2,56,14,0,4.0
86,273,1970-01-01,Postgraduate,Married,36138.0,2. Lower-Middle,1,1,2013-07-16,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0,50042.0,45,2013,2,151,20,1,7.55
87,4452,1957-01-01,Graduate,Single,50388.0,2. Lower-Middle,0,1,2014-05-28,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,50388.0,58,2014,1,372,24,3,15.5
88,8504,1973-01-01,Graduate,Married,79593.0,4. Upper,0,0,2014-05-12,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,50121.0,42,2014,0,1366,21,1,65.04761904761905
89,771,1967-01-01,Graduate,Married,54178.0,3. Upper-Middle,0,1,2014-01-21,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,55657.0,48,2014,1,194,12,0,16.166666666666668
90,8996,1957-01-01,Postgraduate,Married,41437.0,2. Lower-Middle,2,1,2012-11-19,4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,0,41437.0,58,2012,3,603,38,0,15.868421052631579
91,9235,1957-01-01,Graduate,Single,50388.0,2. Lower-Middle,1,1,2014-05-27,45,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0,0,50388.0,58,2014,2,18,11,0,1.6363636363636365
92,5798,1973-01-01,Postgraduate,Married,44051.0,2. Lower-Middle,0,0,2013-11-23,87,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0,0,44051.0,42,2013,0,985,16,0,61.5625
93,11178,1972-01-01,Postgraduate,Single,42394.0,2. Lower-Middle,1,0,2014-03-23,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,47958.5,43,2014,1,32,12,0,2.6666666666666665
94,2230,1970-01-01,Postgraduate,Married,23626.0,1. Lower,1,0,2014-05-24,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,64413.0,45,2014,1,43,15,0,2.8666666666666667
95,7516,1983-01-01,Graduate,Married,30096.0,1. Lower,1,0,2014-05-22,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,37292.0,32,2014,1,45,12,0,3.75
96,7247,1960-01-01,Graduate,Single,47916.0,2. Lower-Middle,0,1,2012-11-22,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0,55026.0,55,2012,1,606,28,1,21.642857142857142
97,11100,1972-01-01,Graduate,Single,51813.0,3. Upper-Middle,1,1,2013-04-11,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,44503.0,43,2013,2,63,14,0,4.5
98,4646,1951-01-01,Undergraduate,Married,78497.0,4. Upper,0,0,2013-12-01,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,78497.0,64,2013,0,978,27,1,36.22222222222222
99,3037,1983-01-01,Postgraduate,Married,50150.0,2. Lower-Middle,0,0,2013-06-20,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,60136.5,32,2013,0,410,21,0,19.523809523809526
100,1473,1960-01-01,Undergraduate,Single,47823.0,2. Lower-Middle,0,1,2013-07-23,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,50523.0,55,2013,1,72,15,0,4.8
101,1016,1959-01-01,Postgraduate,Single,34554.0,1. Lower,0,1,2014-03-30,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,53195.5,56,2014,1,55,13,0,4.230769230769231
102,4518,1979-01-01,Graduate,Married,85693.0,4. Upper,0,1,2013-04-20,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,60313.0,36,2013,1,1169,32,0,36.53125
103,9370,1945-01-01,Postgraduate,Married,65846.0,3. Upper-Middle,0,0,2013-05-17,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,70356.0,70,2013,0,1120,20,0,56.0
104,8908,1959-01-01,Graduate,Married,87195.0,4. Upper,0,0,2014-05-08,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,59646.5,56,2014,0,1097,21,1,52.23809523809524
105,8373,1979-01-01,Undergraduate,Married,24594.0,1. Lower,1,0,2013-12-10,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,21959.0,36,2013,1,29,10,0,2.9
106,7533,1964-01-01,Graduate,Married,49096.0,2. Lower-Middle,1,1,2013-09-24,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,53872.0,51,2013,2,187,20,0,9.35
107,2683,1969-01-01,Graduate,Married,52413.0,3. Upper-Middle,0,2,2013-02-02,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,53289.0,46,2013,2,910,32,0,28.4375
108,3629,1978-01-01,Graduate,Single,38557.0,2. Lower-Middle,1,0,2012-12-19,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,43526.0,37,2012,1,145,16,0,9.0625
109,10991,1960-01-01,Postgraduate,Married,89058.0,4. Upper,0,0,2012-12-07,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,50775.0,55,2012,0,850,16,0,53.125
110,5077,1979-01-01,Graduate,Married,77298.0,4. Upper,0,1,2013-11-02,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,60313.0,36,2013,1,969,27,0,35.888888888888886
111,7431,1991-01-01,Postgraduate,Single,68126.0,3. Upper-Middle,0,0,2012-11-10,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,68682.0,24,2012,0,1820,26,2,70.0
112,3267,1963-01-01,Postgraduate,Married,57288.0,3. Upper-Middle,0,1,2014-06-25,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,48721.0,52,2014,1,608,26,1,23.384615384615383
113,999,1991-01-01,Graduate,Single,86037.0,4. Upper,0,0,2013-01-02,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,51373.0,24,2013,0,730,28,3,26.071428571428573
114,9215,1980-01-01,Postgraduate,Married,43974.0,2. Lower-Middle,1,0,2012-12-12,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,43974.0,35,2012,1,551,28,0,19.678571428571427
115,2286,1962-01-01,Graduate,Single,50785.0,2. Lower-Middle,1,1,2013-09-10,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,64601.5,53,2013,2,114,14,0,8.142857142857142
116,1592,1970-01-01,Graduate,Married,90765.0,4. Upper,0,0,2014-01-24,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,53187.0,45,2014,0,1724,16,2,107.75
117,367,1978-01-01,Undergraduate,Married,36550.0,2. Lower-Middle,1,0,2013-02-19,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,36975.0,37,2013,1,577,29,0,19.896551724137932
118,5234,1967-01-01,Undergraduate,Married,30753.0,1. Lower,1,1,2013-07-11,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,47821.0,48,2013,2,81,12,0,6.75
119,9862,1969-01-01,Graduate,Married,21918.0,1. Lower,1,0,2013-11-14,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,53289.0,46,2013,1,33,13,0,2.5384615384615383
120,9805,1953-01-01,Postgraduate,Married,56129.0,3. Upper-Middle,0,1,2013-06-20,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,59354.0,62,2013,1,660,26,0,25.384615384615383
121,6205,1967-01-01,Postgraduate,Single,32557.0,1. Lower,1,0,2014-02-24,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,59235.0,48,2014,1,80,14,1,5.714285714285714
122,8442,1985-01-01,Postgraduate,Married,19510.0,1. Lower,2,0,2013-09-04,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,20559.0,30,2013,2,30,13,0,2.3076923076923075
123,7386,1976-01-01,Graduate,Single,30992.0,1. Lower,1,0,2013-04-22,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0,46179.5,39,2013,1,43,12,0,3.5833333333333335
